"movie_title","release_date","genre","MPAA_rating","total_gross","inflation_adjusted_gross"
"Snow White and the Seven Dwarfs",2019-12-21,"Musical","G",184925485,5228953251
"Pinocchio",2019-02-09,"Adventure","G",84300000,2188229052
"Fantasia",2019-11-13,"Musical","G",83320000,2187090808
"Song of the South",2019-11-12,"Adventure","G",6.5e+07,1078510579
"Cinderella",2019-02-15,"Drama","G",8.5e+07,920608730
"20,000 Leagues Under the Sea",2019-12-23,"Adventure",NA,28200000,528279994
"Lady and the Tramp",2019-06-22,"Drama","G",93600000,1236035515
"Sleeping Beauty",2019-01-29,"Drama",NA,9464608,21505832
"101 Dalmatians",2019-01-25,"Comedy","G",1.53e+08,1362870985
"The Absent Minded Professor",2019-03-16,"Comedy",NA,25381407,310094574
"Babes in Toyland",2019-12-14,"Musical","G",10218316,124841160
"Bon Voyage!",2019-05-17,"Comedy","Not Rated",9230769,109581646
"The Sword in the Stone",2019-12-25,"Adventure",NA,22182353,153870834
"The Jungle Book",2019-10-18,"Musical","Not Rated",141843000,789612346
"Blackbeard's Ghost",2019-02-08,"Comedy",NA,21540050,138612686
"The Aristocats",2019-04-24,"Musical","G",55675257,255161499
"The Boatniks",2019-07-01,"Comedy",NA,18607492,101200742
"Bedknobs and Broomsticks",2019-10-07,"Musical",NA,17871174,91305448
"The Apple Dumpling Gang",2019-07-01,"Comedy",NA,31916500,131246872
"Freaky Friday",2019-01-21,"Comedy",NA,25942000,98067733
"The Many Adventures of Winnie the Pooh",2019-03-11,NA,NA,0,0
"The Rescuers",2019-06-22,"Adventure",NA,48775599,159743914
"Herbie Goes to Monte Carlo",2019-06-24,NA,NA,2.8e+07,105847527
"The Black Hole",2019-12-21,NA,NA,35841901,120377374
"Midnight Madness",2019-02-08,NA,NA,2900000,9088096
"The Last Flight of Noah’s Ark",2019-06-25,NA,NA,1.1e+07,34472116
"The Devil and Max Devlin",2019-01-01,NA,NA,1.6e+07,48517980
"Amy",2019-03-20,"Drama",NA,0,0
"The Fox and the Hound",2019-07-10,"Comedy",NA,43899231,133118889
"Condorman",2019-08-07,"Action",NA,0,0
"Night Crossing",2019-02-05,"Drama",NA,4500000,12903059
"Tron",2019-07-09,"Action",NA,26918576,77184895
"Tex",2019-11-19,"Drama",NA,7199408,20643199
"Trenchcoat",2019-03-11,"Comedy",NA,4304286,11519089
"Something Wicked This Way Comes",2019-04-29,"Horror",NA,5656087,15136765
"Never Cry Wolf",2019-10-07,"Drama",NA,27668764,70669955
"Running Brave",2019-11-04,"Drama",NA,1204595,3223725
"Splash",2019-03-09,"Comedy","PG",62599495,157057661
